kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel1_gpu_mem,7692,1,1,8118,128,8312024,0,24,8312000,1,1039000,
covariance_kernel2_gpu_mem,12446,1,1,8118,128,16624040,0,24,16624016,1,1039000,
covariance_kernel1_cpu,266,0,1,1,168,0,0,0,0,1,1040000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1040000,
covariance_kernel1_gpu,1545,1,1,8125,128,24,0,24,0,1,1040000,
covariance_kernel2_gpu,1544,1,1,8125,128,24,0,24,0,1,1040000,
covariance_kernel1_gpu_mem,8624,1,1,8125,128,8320024,0,24,8320000,1,1040000,
covariance_kernel2_gpu_mem,13380,1,1,8125,128,16640040,0,24,16640016,1,1040000,
covariance_kernel1_cpu,258,0,1,1,168,0,0,0,0,1,1041000,
covariance_kernel2_cpu,137,0,1,1,168,0,0,0,0,1,1041000,
covariance_kernel1_gpu,1539,1,1,8133,128,24,0,24,0,1,1041000,
covariance_kernel2_gpu,1554,1,1,8133,128,24,0,24,0,1,1041000,
covariance_kernel1_gpu_mem,8598,1,1,8133,128,8328024,0,24,8328000,1,1041000,
covariance_kernel2_gpu_mem,13373,1,1,8133,128,16656040,0,24,16656016,1,1041000,
covariance_kernel1_cpu,258,0,1,1,168,0,0,0,0,1,1042000,
covariance_kernel2_cpu,138,0,1,1,168,0,0,0,0,1,1042000,
covariance_kernel1_gpu,1540,1,1,8141,128,24,0,24,0,1,1042000,
covariance_kernel2_gpu,1534,1,1,8141,128,24,0,24,0,1,1042000,
covariance_kernel1_gpu_mem,8890,1,1,8141,128,8336024,0,24,8336000,1,1042000,
covariance_kernel2_gpu_mem,13470,1,1,8141,128,16672040,0,24,16672016,1,1042000,
covariance_kernel1_cpu,264,0,1,1,168,0,0,0,0,1,1043000,
covariance_kernel2_cpu,135,0,1,1,168,0,0,0,0,1,1043000,
covariance_kernel1_gpu,1541,1,1,8149,128,24,0,24,0,1,1043000,
covariance_kernel2_gpu,1539,1,1,8149,128,24,0,24,0,1,1043000,
covariance_kernel1_gpu_mem,8539,1,1,8149,128,8344024,0,24,8344000,1,1043000,
