kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_gpu,312,1,1,82735,128,0,0,0,0,1,10590000,,,
nn_kernel_gpu_mem,21698,1,1,82735,128,84720000,42360000,42360000,84720000,1,10590000,,,
nn_kernel_cpu,67549,0,1,1,128,0,0,0,0,1,10600000,,,
nn_kernel_gpu,311,1,1,82813,128,0,0,0,0,1,10600000,,,
nn_kernel_gpu_mem,21730,1,1,82813,128,84800000,42400000,42400000,84800000,1,10600000,,,
nn_kernel_cpu,66832,0,1,1,128,0,0,0,0,1,1060000,,,
nn_kernel_gpu,150,1,1,8282,128,0,0,0,0,1,1060000,,,
nn_kernel_gpu_mem,3953,1,1,8282,128,8480000,4240000,4240000,8480000,1,1060000,,,
nn_kernel_cpu,61717,0,1,1,128,0,0,0,0,1,10610000,,,
nn_kernel_gpu,313,1,1,82891,128,0,0,0,0,1,10610000,,,
nn_kernel_gpu_mem,21756,1,1,82891,128,84880000,42440000,42440000,84880000,1,10610000,,,
nn_kernel_cpu,67861,0,1,1,128,0,0,0,0,1,10620000,,,
nn_kernel_gpu,308,1,1,82969,128,0,0,0,0,1,10620000,,,
nn_kernel_gpu_mem,47788,1,1,82969,128,84960000,42480000,42480000,84960000,1,10620000,,,
nn_kernel_cpu,68223,0,1,1,128,0,0,0,0,1,10630000,,,
nn_kernel_gpu,313,1,1,83047,128,0,0,0,0,1,10630000,,,
nn_kernel_gpu_mem,21912,1,1,83047,128,85040000,42520000,42520000,85040000,1,10630000,,,
nn_kernel_cpu,68254,0,1,1,128,0,0,0,0,1,10640000,,,
nn_kernel_gpu,311,1,1,83125,128,0,0,0,0,1,10640000,,,
nn_kernel_gpu_mem,21965,1,1,83125,128,85120000,42560000,42560000,85120000,1,10640000,,,
nn_kernel_cpu,67790,0,1,1,128,0,0,0,0,1,10650000,,,
nn_kernel_gpu,304,1,1,83204,128,0,0,0,0,1,10650000,,,
nn_kernel_gpu_mem,23594,1,1,83204,128,85200000,42600000,42600000,85200000,1,10650000,,,
nn_kernel_cpu,67827,0,1,1,128,0,0,0,0,1,10660000,,,
nn_kernel_gpu,310,1,1,83282,128,0,0,0,0,1,10660000,,,
nn_kernel_gpu_mem,21964,1,1,83282,128,85280000,42640000,42640000,85280000,1,10660000,,,
nn_kernel_cpu,70917,0,1,1,128,0,0,0,0,1,10670000,,,
nn_kernel_gpu,280,1,1,83360,128,0,0,0,0,1,10670000,,,
nn_kernel_gpu_mem,21910,1,1,83360,128,85360000,42680000,42680000,85360000,1,10670000,,,
nn_kernel_cpu,68376,0,1,1,128,0,0,0,0,1,10680000,,,
nn_kernel_gpu,293,1,1,83438,128,0,0,0,0,1,10680000,,,
nn_kernel_gpu_mem,21778,1,1,83438,128,85440000,42720000,42720000,85440000,1,10680000,,,
nn_kernel_cpu,67123,0,1,1,128,0,0,0,0,1,1070000,,,
nn_kernel_gpu,137,1,1,8360,128,0,0,0,0,1,1070000,,,
nn_kernel_gpu_mem,3209,1,1,8360,128,8560000,4280000,4280000,8560000,1,1070000,,,
nn_kernel_cpu,67917,0,1,1,128,0,0,0,0,1,10690000,,,
nn_kernel_gpu,313,1,1,83516,128,0,0,0,0,1,10690000,,,
nn_kernel_gpu_mem,22008,1,1,83516,128,85520000,42760000,42760000,85520000,1,10690000,,,
nn_kernel_cpu,75150,0,1,1,128,0,0,0,0,1,10700000,,,
nn_kernel_gpu,274,1,1,83594,128,0,0,0,0,1,10700000,,,
nn_kernel_gpu_mem,21665,1,1,83594,128,85600000,42800000,42800000,85600000,1,10700000,,,
nn_kernel_cpu,67786,0,1,1,128,0,0,0,0,1,10710000,,,
nn_kernel_gpu,292,1,1,83672,128,0,0,0,0,1,10710000,,,
nn_kernel_gpu_mem,21518,1,1,83672,128,85680000,42840000,42840000,85680000,1,10710000,,,
nn_kernel_cpu,68107,0,1,1,128,0,0,0,0,1,10720000,,,
nn_kernel_gpu,316,1,1,83750,128,0,0,0,0,1,10720000,,,
nn_kernel_gpu_mem,22063,1,1,83750,128,85760000,42880000,42880000,85760000,1,10720000,,,
nn_kernel_cpu,67946,0,1,1,128,0,0,0,0,1,10730000,,,
nn_kernel_gpu,280,1,1,83829,128,0,0,0,0,1,10730000,,,
nn_kernel_gpu_mem,22019,1,1,83829,128,85840000,42920000,42920000,85840000,1,10730000,,,
nn_kernel_cpu,67730,0,1,1,128,0,0,0,0,1,10740000,,,
nn_kernel_gpu,300,1,1,83907,128,0,0,0,0,1,10740000,,,
nn_kernel_gpu_mem,21969,1,1,83907,128,85920000,42960000,42960000,85920000,1,10740000,,,
nn_kernel_cpu,68058,0,1,1,128,0,0,0,0,1,10750000,,,
nn_kernel_gpu,309,1,1,83985,128,0,0,0,0,1,10750000,,,
nn_kernel_gpu_mem,22230,1,1,83985,128,86000000,43000000,43000000,86000000,1,10750000,,,
nn_kernel_cpu,67679,0,1,1,128,0,0,0,0,1,10760000,,,
nn_kernel_gpu,278,1,1,84063,128,0,0,0,0,1,10760000,,,
nn_kernel_gpu_mem,22169,1,1,84063,128,86080000,43040000,43040000,86080000,1,10760000,,,
nn_kernel_cpu,67744,0,1,1,128,0,0,0,0,1,10770000,,,
nn_kernel_gpu,299,1,1,84141,128,0,0,0,0,1,10770000,,,
nn_kernel_gpu_mem,22144,1,1,84141,128,86160000,43080000,43080000,86160000,1,10770000,,,
nn_kernel_cpu,71134,0,1,1,128,0,0,0,0,1,1080000,,,
nn_kernel_gpu,140,1,1,8438,128,0,0,0,0,1,1080000,,,
nn_kernel_gpu_mem,3307,1,1,8438,128,8640000,4320000,4320000,8640000,1,1080000,,,
nn_kernel_cpu,67877,0,1,1,128,0,0,0,0,1,10780000,,,
nn_kernel_gpu,315,1,1,84219,128,0,0,0,0,1,10780000,,,
nn_kernel_gpu_mem,21858,1,1,84219,128,86240000,43120000,43120000,86240000,1,10780000,,,
nn_kernel_cpu,67978,0,1,1,128,0,0,0,0,1,10790000,,,
nn_kernel_gpu,336,1,1,84297,128,0,0,0,0,1,10790000,,,
nn_kernel_gpu_mem,21606,1,1,84297,128,86320000,43160000,43160000,86320000,1,10790000,,,
nn_kernel_cpu,67721,0,1,1,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu,284,1,1,84375,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu_mem,23277,1,1,84375,128,86400000,43200000,43200000,86400000,1,10800000,,,
nn_kernel_cpu,68337,0,1,1,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu,310,1,1,84375,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu_mem,20326,1,1,84375,128,86400000,43200000,43200000,86400000,1,10800000,,,
nn_kernel_cpu,68337,0,1,1,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu,310,1,1,84375,128,0,0,0,0,1,10800000,,,
nn_kernel_gpu_mem,20326,1,1,84375,128,86400000,43200000,43200000,86400000,1,10800000,,,
nn_kernel_cpu,68040,0,1,1,128,0,0,0,0,1,10810000,,,
nn_kernel_gpu,307,1,1,84454,128,0,0,0,0,1,10810000,,,
nn_kernel_gpu_mem,22289,1,1,84454,128,86480000,43240000,43240000,86480000,1,10810000,,,
nn_kernel_cpu,66752,0,1,1,128,0,0,0,0,1,10820000,,,
nn_kernel_gpu,321,1,1,84532,128,0,0,0,0,1,10820000,,,
