kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,1826448,0,1,0,0,0,0,3,1000,4000,6000
mm_kernel_cpu_collapse,1697887,0,2,0,0,0,0,3,1000,4000,6000
mm_kernel_gpu_mem,5152081,1,1,224000000,48000000,48000000,272000000,3,1000,4000,6000
mm_kernel_gpu_mem,219271,1,2,224000000,48000000,48000000,272000000,3,1000,4000,6000
mm_kernel_gpu,5099691,1,1,0,0,0,0,3,1000,4000,6000
mm_kernel_gpu_collapse,202802,1,2,0,0,0,0,3,1000,4000,6000
mm_kernel_cpu,2421344,0,1,0,0,0,0,3,1000,4000,7000
mm_kernel_cpu_collapse,2265450,0,2,0,0,0,0,3,1000,4000,7000
mm_kernel_gpu_mem,5961380,1,1,256000000,56000000,56000000,312000000,3,1000,4000,7000
mm_kernel_gpu_mem,257839,1,2,256000000,56000000,56000000,312000000,3,1000,4000,7000
mm_kernel_gpu,5902316,1,1,0,0,0,0,3,1000,4000,7000
